Category,Issue_Number,Title,Summary,Technical_Details,Categorization_Reason,Labels,State,Created_Date,Updated_Date,Author,Assignees,Comments_Count,URL,Is_Pull_Request,Body_Length,Priority_Indicators
Installation Setup,11516,Configurable conda/mamba channel_alias for runtime builds + unit test,Configurable conda/mamba channel_alias for runtime builds + unit test,build their own runtime image with `oh_conda_channel_alias` set to a non-anaconda mirror (examples b,"Installation, setup, or deployment related",,open,2025-10-26,2025-10-27,enyst,,2,https://github.com/OpenHands/OpenHands/pull/11516,Yes,4374,Normal
Installation Setup,11513,Update container registry from ghcr.io/openhands to ghcr.io/all-hands-ai,Update container registry from ghcr.io/openhands to ghcr.io/all-hands-ai,,"Installation, setup, or deployment related",,open,2025-10-26,2025-10-26,rbren,,2,https://github.com/OpenHands/OpenHands/pull/11513,Yes,2167,Normal
Installation Setup,11475,OHE Telemetry Service M2 - Metrics Collection Framework,"OHE Telemetry Service M2 - Metrics Collection Framework. ## Problem Statement

OpenHands Enterprise (OHE) helm charts are publicly available but not open s...","track installation and usage metrics to identify unknown ohe users, monitor installation health, and","Installation, setup, or deployment related",enhancement; app-team; enterprise,open,2025-10-22,2025-10-27,jpshackelford,,3,https://github.com/OpenHands/OpenHands/pull/11475,Yes,6332,Normal
Installation Setup,11474,localhost base_url fixup when running in a docker container,"localhost base_url fixup when running in a docker container. ## Summary of PR

When running OpenHands to target local Lemonade servers, was running into a prob...",,"Installation, setup, or deployment related",,open,2025-10-22,2025-10-28,eddierichter-amd,,1,https://github.com/OpenHands/OpenHands/pull/11474,Yes,862,Normal
Installation Setup,11444,chore(deps): bump node from 24.8-trixie-slim to 25.0-trixie-slim in /containers/app,chore(deps): bump node from 24.8-trixie-slim to 25.0-trixie-slim in /containers/app,,"Installation, setup, or deployment related",dependencies; docker,open,2025-10-20,2025-10-27,dependabot[bot],,1,https://github.com/OpenHands/OpenHands/pull/11444,Yes,2007,Normal
Installation Setup,11342,chore(deps): bump python from 3.13.7-slim-trixie to 3.14.0-slim-trixie in /containers/app,chore(deps): bump python from 3.13.7-slim-trixie to 3.14.0-slim-trixie in /containers/app,,"Installation, setup, or deployment related",dependencies; docker,open,2025-10-13,2025-10-27,dependabot[bot],,1,https://github.com/OpenHands/OpenHands/pull/11342,Yes,2019,Normal
Installation Setup,10886,GitHub Workflow to Publish Self-Hosted Images to S3,"GitHub Workflow to Publish Self-Hosted Images to S3. ## Overview

This PR proposes a GitHub workflow to automate the process of building and publishing...",,"Installation, setup, or deployment related",,open,2025-09-08,2025-10-27,jpshackelford,,2,https://github.com/OpenHands/OpenHands/pull/10886,Yes,997,Normal
Installation Setup,10883,chore(deps): bump actions/github-script from 7 to 8,chore(deps): bump actions/github-script from 7 to 8,,"Installation, setup, or deployment related",dependencies; github_actions,open,2025-09-08,2025-10-09,dependabot[bot],,0,https://github.com/OpenHands/OpenHands/pull/10883,Yes,11603,Normal
Installation Setup,10833,build: Migrate to uv,build: Migrate to uv,"in theory improve install speed, short ci and local setup times","Installation, setup, or deployment related",,open,2025-09-05,2025-10-27,jakob1379,,10,https://github.com/OpenHands/OpenHands/pull/10833,Yes,2100,Normal
Installation Setup,10805,feat(runtime): add windows-docker runtime (initial),feat(runtime): add windows-docker runtime (initial),,"Installation, setup, or deployment related",,open,2025-09-04,2025-10-27,shx815,,6,https://github.com/OpenHands/OpenHands/pull/10805,Yes,2672,Normal
Installation Setup,10804,docs : Update README.md - cli installer instruction to specify docker is needed in addition to uv,"docs : Update README.md - cli installer instruction to specify docker is needed in addition to uv. If checked, you **must** provide an **end-user friendly** description for your change below

**End...",,"Installation, setup, or deployment related",,open,2025-09-04,2025-10-27,Rat-S,,2,https://github.com/OpenHands/OpenHands/pull/10804,Yes,708,Normal
Agent Behavior,11555,Fix flaky test_condenser_metrics_included by creating new action objects,Fix flaky test_condenser_metrics_included by creating new action objects,,Agent behavior or workflow related,,open,2025-10-29,2025-10-29,raymyers,raymyers,0,https://github.com/OpenHands/OpenHands/pull/11555,Yes,1067,Normal
Agent Behavior,11524,chore(deps): bump actions/download-artifact from 4 to 6,chore(deps): bump actions/download-artifact from 4 to 6,,Agent behavior or workflow related,dependencies; github_actions,open,2025-10-27,2025-10-27,dependabot[bot],,1,https://github.com/OpenHands/OpenHands/pull/11524,Yes,8169,Normal
Agent Behavior,11497,fix: support recursively parse nested tools params,fix: support recursively parse nested tools params,,Agent behavior or workflow related,,open,2025-10-24,2025-10-27,Edward-sy,,0,https://github.com/OpenHands/OpenHands/pull/11497,Yes,1425,Normal
Agent Behavior,11436,Fix stuck after incorrect TaskTrackingAction,Fix stuck after incorrect TaskTrackingAction,,Agent behavior or workflow related,,open,2025-10-20,2025-10-23,jarrycyx,,0,https://github.com/OpenHands/OpenHands/pull/11436,Yes,2368,Normal
Agent Behavior,11409,Pre-commit hooks not automatically executed before agent creates pull requests,"Pre-commit hooks not automatically executed before agent creates pull requests. ## Description

When a user places a pre-commit script at `.openhands/pre-commit.sh` in their projec...","be automatically executed whenever the agent runs `git commit`, including when preparing to create p",Agent behavior or workflow related,,open,2025-10-16,2025-10-29,neubig,,2,https://github.com/OpenHands/OpenHands/issues/11409,No,2437,Normal
Agent Behavior,11289,Optimize the memory condenser to reuse the cached multi-turn messages instread of resending the whole context again,"Optimize the memory condenser to reuse the cached multi-turn messages instread of resending the whole context again. When OH condenses memory, it sends a completely new prompt that starts with:

> ""You are maintaining...",,Agent behavior or workflow related,enhancement,open,2025-10-08,2025-10-08,kripper,,0,https://github.com/OpenHands/OpenHands/issues/11289,No,724,Normal
Agent Behavior,11150,CLI(V1): implement immediate agent termination with double Ctrl+C,"CLI(V1): implement immediate agent termination with double Ctrl+C. ## Problem

Currently, when users press Ctrl+P or Ctrl+C to pause the agent, there is a delay as the...",immediate agent termination with double ctrl+c ## summary,Agent behavior or workflow related,,open,2025-09-26,2025-10-02,malhotra5,,0,https://github.com/OpenHands/OpenHands/pull/11150,Yes,4818,Normal
Agent Behavior,11016,[Agent] Customizable Guardrails,"[Agent] Customizable Guardrails. For example, one anecdotal comment from a customer mentioned that an AI agent they were using commit...",,Agent behavior or workflow related,enhancement; agent,open,2025-09-18,2025-09-23,jpelletier1,,1,https://github.com/OpenHands/OpenHands/issues/11016,No,860,Normal
Agent Behavior,10966,Report creation,Report creation,use whatever tools necessary to write the report with requested information,Agent behavior or workflow related,,open,2025-09-14,2025-10-29,erkinalp,,4,https://github.com/OpenHands/OpenHands/issues/10966,No,323,Normal
Agent Behavior,10945,Request access to official OpenHands RPC Docker image (0.56.0),Request access to official OpenHands RPC Docker image (0.56.0),request credentials or a docker hub link to access the official rpc-enabled image:,Agent behavior or workflow related,enhancement; Stale,open,2025-09-11,2025-10-22,Meenakshi-Gayathri,,1,https://github.com/OpenHands/OpenHands/issues/10945,No,356,Normal
Agent Behavior,10829,feat: add GitHub Actions workflow templates for OpenHands API integration,feat: add GitHub Actions workflow templates for OpenHands API integration,,Agent behavior or workflow related,Stale,open,2025-09-05,2025-10-21,xingyaoww,,1,https://github.com/OpenHands/OpenHands/pull/10829,Yes,4175,Normal
Error Crash,11550,fix: prevent self-mention loops by sanitizing @OpenHands in assistant,"fix: prevent self-mention loops by sanitizing @OpenHands in assistant. When the assistant mentions @OpenHands, it could trigger platform notifications or create clickable ...",,Contains error/crash related keywords,,open,2025-10-28,2025-10-28,YakshithK,,0,https://github.com/OpenHands/OpenHands/pull/11550,Yes,1067,Normal
Error Crash,11473,Fix GitHub resolver authentication error handling,"Fix GitHub resolver authentication error handling. Fixes #11472

This PR improves error handling for authentication failures across GitHub, GitLab, and...",,Contains error/crash related keywords,deploy,open,2025-10-21,2025-10-22,neubig,,3,https://github.com/OpenHands/OpenHands/pull/11473,Yes,2154,Normal
Error Crash,11404,"[BUG] In the MCPProxyManager, the mounted mcp_app has not been effectively removed.","In the MCPProxyManager, the mounted mcp_app has not been effectively removed.. [issue](https://github.com/All-Hands-AI/OpenHands/issues/11403)...",,Contains error/crash related keywords,,open,2025-10-16,2025-10-28,CLFutureX,,1,https://github.com/OpenHands/OpenHands/pull/11404,Yes,63,Normal
Error Crash,11213,fix: add fallback error handling for custom secrets setup on runtime resume,"fix: add fallback error handling for custom secrets setup on runtime resume. If checked, you **must** provide an **end-user friendly** description for your change below

**End-u...",,Contains error/crash related keywords,,open,2025-10-02,2025-10-02,xingyaoww,,1,https://github.com/OpenHands/OpenHands/pull/11213,Yes,3328,Normal
Error Crash,11160,[Bug] Import Caching Producing False Negatives,"Import Caching Producing False Negatives. **What problem or use case are you trying to solve?**

During the debugging process, it is often the...","or enhancement useful, make sure to add a 👍 to the issue",Contains error/crash related keywords,enhancement,open,2025-09-27,2025-09-27,ryansherby,,0,https://github.com/OpenHands/OpenHands/issues/11160,No,2113,Normal
Error Crash,11071,MCP Server Deployment Debugging,MCP Server Deployment Debugging. In the case where an STDIO MCP server is setup in the configuration but fails to deploy due to a cod...,,Contains error/crash related keywords,enhancement,open,2025-09-22,2025-09-22,jdwillard19,,0,https://github.com/OpenHands/OpenHands/issues/11071,No,348,Normal
Error Crash,10927,Fix tool call validation error handling for Groq LLM provider,"Fix tool call validation error handling for Groq LLM provider. If checked, you **must** provide an **end-user friendly** description for your change below

**End-u...",,Contains error/crash related keywords,,open,2025-09-11,2025-09-30,enyst,,3,https://github.com/OpenHands/OpenHands/pull/10927,Yes,2164,Normal
Llm Model,11412,Feature Request: LLM Profile Management for OpenHands CLI,"Feature Request: LLM Profile Management for OpenHands CLI. # Feature Request: LLM Profile Management for OpenHands CLI

## What problem or use case are you try...",llm profile management for openhands cli # feature request: llm profile management for openhands cli,LLM or AI model related,enhancement; roadmap,open,2025-10-16,2025-10-17,xingyaoww,,3,https://github.com/OpenHands/OpenHands/issues/11412,No,8261,Normal
Llm Model,11374,Add n1n.ai API as a model provider,Add n1n.ai API as a model provider,,LLM or AI model related,enhancement,open,2025-10-14,2025-10-14,n1n-api,,0,https://github.com/OpenHands/OpenHands/issues/11374,No,1643,Normal
Llm Model,11350,Add gpt-5-codex model support,Add gpt-5-codex model support,gpt-5-codex,LLM or AI model related,enhancement,open,2025-10-13,2025-10-13,simonrosenberg,,3,https://github.com/OpenHands/OpenHands/issues/11350,No,160,Normal
Llm Model,11259,Fix: Sonnet 4.5 detection incl. Bedrock,"Fix: Sonnet 4.5 detection incl. Bedrock. fix #11248

Summary
- Normalize Bedrock-style region.vendor prefixes (e.g., `us.anthropic.*`) so Son...",,LLM or AI model related,,open,2025-10-06,2025-10-23,enyst,,2,https://github.com/OpenHands/OpenHands/pull/11259,Yes,1931,Normal
Llm Model,11031,Question: What is the best Verified OSS Model for today September 2025 ? Which I can run locally with 1 gpu and 16GB of VRAM ?,Question: What is the best Verified OSS Model for today September 2025 ? Which I can run locally with 1 gpu and 16GB of VRAM ?. They all fail with different errors...,,LLM or AI model related,,open,2025-09-19,2025-10-19,dibu28,,3,https://github.com/OpenHands/OpenHands/issues/11031,No,478,Normal
Llm Model,10952,Feature Request: Add CometAPI Provider Support,Feature Request: Add CometAPI Provider Support,this integration and submit a pr according to your project's standards and guidelines if you'd like,LLM or AI model related,enhancement; Stale,open,2025-09-12,2025-10-23,TensorNull,,1,https://github.com/OpenHands/OpenHands/issues/10952,No,607,Normal
Workspace Files,11379,Fix race condition causing 500 errors when metadata.json disappears,"Fix race condition causing 500 errors when metadata.json disappears. ## Problem
When `delete_conversation` removes a conversation directory, other operations (events, we...",,"Workspace, file system, or permissions related",,open,2025-10-15,2025-10-27,olyashok,,1,https://github.com/OpenHands/OpenHands/pull/11379,Yes,1470,Normal
Workspace Files,11205,[Enhancement] Support file lookup in CLI using @,"Support file lookup in CLI using @. **What problem or use case are you trying to solve?**
As a developer who is looking to reference spe...","or enhancement useful, make sure to add a 👍 to the issue","Workspace, file system, or permissions related",enhancement,open,2025-10-01,2025-10-14,jpelletier1,,2,https://github.com/OpenHands/OpenHands/issues/11205,No,413,Normal
Workspace Files,10993,fix(openhands/runtime/base.py): adjust org-repo logic,fix(openhands/runtime/base.py): adjust org-repo logic,,"Workspace, file system, or permissions related",,open,2025-09-16,2025-10-22,wolfspyre,,0,https://github.com/OpenHands/OpenHands/pull/10993,Yes,1318,Normal
V1 Migration,11531,V1 Conversations: conversation metadata,V1 Conversations: conversation metadata,but leaks concerns into core openhands that don’t belong there,V1 version or migration related,,open,2025-10-27,2025-10-28,enyst,,0,https://github.com/OpenHands/OpenHands/issues/11531,No,7536,Normal
V1 Migration,11345,CLI(V1): allow configuring working directory from inside CLI,"CLI(V1): allow configuring working directory from inside CLI. **What problem or use case are you trying to solve?**

V1 CLI can be run through an executable binar...","or enhancement useful, make sure to add a 👍 to the issue",V1 version or migration related,enhancement; CLI,open,2025-10-13,2025-10-21,malhotra5,,3,https://github.com/OpenHands/OpenHands/issues/11345,No,648,Normal
Performance,11519,fix(stream) Optimize Subscription Resource Cleanup in Stream to Ensure Complete Resource Management,"fix(stream) Optimize Subscription Resource Cleanup in Stream to Ensure Complete Resource Management. **Background**
Right now, when we clean up subscription resources, we only delete specific resource...",,Performance or speed related issue,,open,2025-10-27,2025-10-27,CLFutureX,,0,https://github.com/OpenHands/OpenHands/pull/11519,Yes,465,Normal
Performance,11009,CLI(V1): Speed up binary executable startup,"CLI(V1): Speed up binary executable startup. **What problem or use case are you trying to solve?**
We want the binary executable for the CLI to b...","or enhancement useful, make sure to add a 👍 to the issue",Performance or speed related issue,enhancement; Stale,open,2025-09-17,2025-10-28,malhotra5,,1,https://github.com/OpenHands/OpenHands/issues/11009,No,1502,Normal
Documentation,11490,feat(evaluation): Filter task ids by difficulty for SWE Gym rollouts,"feat(evaluation): Filter task ids by difficulty for SWE Gym rollouts. I think after collecting N successful easy trajectories, it's better to focus compute on other tasks...",,Documentation related,,open,2025-10-23,2025-10-23,KevinMusgrave,,0,https://github.com/OpenHands/OpenHands/pull/11490,Yes,2165,Normal
Documentation,11370,docs: Broken architecture diagram reference in openhands/README.md,docs: Broken architecture diagram reference in openhands/README.md. The architecture diagram in openhands/README.md (line 6) returns 404 because it points to `../docs/s...,,Documentation related,,open,2025-10-14,2025-10-14,Chesars,,0,https://github.com/OpenHands/OpenHands/issues/11370,No,595,High
Logging Debugging,11506,"Add ""SSL no-verify"" config option for debugging","Add ""SSL no-verify"" config option for debugging. **What problem or use case are you trying to solve?**

Make it easier for corporate users with custo...","or enhancement useful, make sure to add a 👍 to the issue",Logging or debugging related,enhancement; security,open,2025-10-24,2025-10-24,raymyers,raymyers,0,https://github.com/OpenHands/OpenHands/issues/11506,No,1531,Normal
Other,11422,다들 코딩 천재?,다들 코딩 천재?,,No specific category keywords found,,open,2025-10-17,2025-10-20,elemanop,,1,https://github.com/OpenHands/OpenHands/issues/11422,No,16,Normal
